노선번호,유형,종류,운행업체,분리노선,노선아이디,기점,종점,정류장수
순환2-1,일반,순환,성보교통㈜,방면없음,2000002100,검단동,검단동,72
칠곡1,일반,지선,우주교통㈜,방면없음,4090001000,동호동,동호동,51
칠곡1-1,일반,지선,우주교통㈜,방면없음,4090001100,동호동,동호동,54
칠곡2,일반,지선,동명교통㈜,동호동-노곡동-동호동,4090002001,동호동,동호동,111
칠곡2,일반,지선,동명교통㈜,추동교-노곡동-동호동,4090002004,추동교,노곡동,97
칠곡2,일반,지선,동명교통㈜,칠곡농장-노곡동-동호동,4090002007,칠곡농장,동호동,99
칠곡3,일반,지선,동명교통㈜,기성-동명-칠곡시장-동명-예술대-경운대,4090003001,기성리,경운대,73
칠곡3,일반,지선,동명교통㈜,기성-동명-칠곡시장-동명-기성,4090003003,기성리,기성리,80
칠곡3,일반,지선,동명교통㈜,파계사-동명-칠곡시장-동명-경운대,4090003006,파계사,경운대,72
칠곡3,일반,지선,동명교통㈜,동명-칠곡시장-동명,4090003007,동명면,동명면,51
칠곡3,일반,지선,동명교통㈜,동명-칠곡시장-동명-기성,4090003008,동명면,기성리,66
칠곡3,일반,지선,동명교통㈜,경운대-동명-칠곡시장-동명-기성,4090003010,경운대,기성리,80
칠곡3,일반,지선,동명교통㈜,기성-동명-칠곡시장-동명-경운대,4090003011,기성리,경운대,72
칠곡3,일반,지선,동명교통㈜,기성-동명-칠곡시장-동명,4090003013,기성리,동명면,66
칠곡3,일반,지선,동명교통㈜,경운대-예술대-동명-칠곡시장-동명-기성-파계사,4090003014,경운대,파계사,104
칠곡3,일반,지선,동명교통㈜,경운대-동명-칠곡시장-동명-하판,4090003015,경운대,하판,70
칠곡3,일반,지선,동명교통㈜,경운대-동명-칠곡시장-동명-기성-파계사,4090003017,경운대,파계사,89
칠곡3,일반,지선,동명교통㈜,기성-동명-칠곡시장-동명-기성(대구은행연수원),4090003018,기성리,기성리,83
칠곡3,일반,지선,동명교통㈜,기성(대구은행연수원)-동명-칠곡시장-동명,4090003021,기성리,동명면,68
칠곡3,일반,지선,동명교통㈜,기성(대구은행연수원)-동명-칠곡시장-동명-경운대,4090003022,기성리,경운대,74
칠곡3,일반,지선,동명교통㈜,하판-동명-기성,4090003023,하판,기성리,29
칠곡4,일반,지선,동명교통㈜,방면없음,4090004000,동호동,동호동,59
칠곡5,일반,지선,동명교통㈜,단일방면,4090005000,도남동,도남동,31
칠곡5,일반,지선,동명교통㈜,도남-팔거역-도남,4090005001,도남동,도남동,19
팔공2,일반,지선,광남자동차㈜,"팔공산맞춤노선(토요일,공휴일운행)",4110001006,동대구,갓바위,81
156,일반,간선,"(주)달구벌버스, 세운버스㈜",방면없음,3000156000,성서산업단지,조일로봇고,105
204,일반,간선,"우주교통㈜, 현대교통㈜",방면없음,3000204000,범물동,금호지구,108
240,일반,간선,(주)세왕교통,방면없음,3000240000,방천리(공영차고지),대일리,103
304,일반,간선,"(주)세왕교통, 영진교통㈜",방면없음,3000304000,종합유통단지,대일리,113
323,일반,간선,"성보교통㈜, 경상버스㈜",방면없음,3000323000,종합유통단지,종합유통단지,84
356,일반,간선,"성보교통㈜, 세한여객㈜",방면없음,3000356000,조야동,월광수변공원,95
401,일반,간선,"광남자동차㈜, 현대교통㈜, 신진자동차㈜",기본노선,3000401000,갓바위,범물동,151
401,일반,간선,"광남자동차㈜, 현대교통㈜, 신진자동차㈜","능성동맞춤노선(평일,오전)",3000401078,갓바위,범물동,159
401,일반,간선,"광남자동차㈜, 현대교통㈜, 신진자동차㈜","능성동맞춤노선(평일,오후)",3000401079,갓바위,범물동,159
4010,일반,간선,"광남자동차㈜, 성보교통㈜",방면없음,3001401000,이시아폴리스더샵1단지,아양교역,12
425,일반,간선,"신흥버스㈜, (주)관음교통",방면없음,3000425000,황금동,매곡,135
449,일반,간선,"(주)세왕교통, 한일운수㈜",방면없음,3000449000,대일리,금구리,136
503,일반,간선,"신흥버스㈜, 대일버스, 영진교통㈜",방면없음,3000503000,서변동,성서산업단지,134
509,좌석,간선,"삼천리버스㈜, 경신교통㈜",영남대방면,3000509000,방천리(공영차고지),영남대,155
509,좌석,간선,"삼천리버스㈜, 경신교통㈜",소라아파트방면,3000509001,방천리(공영차고지),소라아파트,157
518,좌석,간선,"신흥버스㈜, (주)달구벌버스",방면없음,3000518000,성서산업단지,안심역,170
523,일반,간선,"경신교통㈜, 영진교통㈜",원대오거리방면,3000523000,검단동,방천리(공영차고지),113
523,일반,간선,"경신교통㈜, 영진교통㈜",동산네거리방면,3000523001,검단동,방천리(공영차고지),112
524,일반,간선,"우진교통㈜, 대일버스㈜, 현대교통㈜",방면없음,3000524000,범물동,매곡,171
527,좌석,간선,"우진교통㈜, 우주교통㈜",방면없음,3000527000,매곡,동명면,143
564,좌석,간선,"(주)세진교통, 우진교통㈜, 현대교통㈜",방면없음,3000564000,매곡,범물동,119
600,일반,간선,"세한여객㈜, 현대교통㈜",달성2차산단-앞산공원,3000600000,달성2차산단,달성2차산단,181
600,일반,간선,"세한여객㈜, 현대교통㈜",대곡-용연사-휴양림-유가사(주말),3000600070,대곡,유가사,43
600,일반,간선,"세한여객㈜, 현대교통㈜",유가사-용연사-대곡(주말),3000600071,유가사,대곡,44
600,일반,간선,"세한여객㈜, 현대교통㈜",대곡-용연사-유가사(주말),3000600073,대곡,유가사,42
600,일반,간선,"세한여객㈜, 현대교통㈜",대곡-현풍-휴양림-유가사(비슬산맞춤노선),3000600075,대곡,유가사,41
600,일반,간선,"세한여객㈜, 현대교통㈜",유가사-현풍-대곡(비슬산맞춤노선),3000600077,유가사,대곡,47
609,일반,간선,"한일운수㈜, 대명교통㈜",방면없음,3000609005,대천동(공영차고지),영남대(조영동),149
618,일반,간선,"(주)세진교통, 우창여객㈜, 세운버스㈜",대곡-동호,3000618000,대곡동(공영차고지),동호동(공영차고지),145
618,일반,간선,"(주)세진교통, 우창여객㈜, 세운버스㈜",대곡-동호(금강동출발),3000618001,대곡동(공영차고지),동호동(공영차고지),142
618,일반,간선,"(주)세진교통, 우창여객㈜, 세운버스㈜",대곡-동호(금강동도착),3000618002,대곡동(공영차고지),동호동(공영차고지),142
623,일반,간선,"성보교통㈜, 세한여객㈜",방면없음,3000623001,달성군청,검단동,168
649,좌석,간선,"우창여객㈜, 경상버스㈜",방면없음,3000649000,대곡동(공영차고지),금구리,154
650,일반,간선,"대명교통㈜, 대덕버스㈜",방면없음,3000650001,다산,다산,102
651,일반,간선,"경북교통㈜, 우창여객㈜, 대일버스㈜",방면없음,3000651000,명곡지구,반야월역,150
653,일반,간선,"영진교통㈜, 남도버스㈜",방면없음,3000653000,설화리,검단동,156
655,일반,간선,"우진교통㈜, 세한여객㈜",방면없음,3000655000,매곡,유곡사거리,178
706,좌석,간선,"우주교통㈜, 남도버스㈜",방면없음,3000706000,관음동,대곡동(공영차고지),145
708,좌석,간선,"우창여객㈜, 대덕버스㈜",동아아울렛강북점경유,3000708000,칠곡산호아파트,대구대,181
708,좌석,간선,"우창여객㈜, 대덕버스㈜",대구운전면허시험장경유,3000708001,칠곡산호아파트,대구대,191
719,좌석,간선,"(주)관음교통, 경상버스㈜",방면없음,3000719000,관음동,영남대,157
724,일반,간선,"(주)세진교통, 동명교통㈜",방면없음,3000724000,관음동,시지지구,124
7250,일반,간선,"동명교통㈜, 신흥버스㈜, 우주교통㈜, 경신교통㈜",방면없음,3001725000,태전역,태전역,58
726,일반,간선,"동명교통㈜, 대명교통㈜",방면없음,3000726000,동호동,대곡동(공영차고지),137
814,일반,간선,"(주)세진교통, 경북교통㈜",방면없음,3000814000,대구대,범물동,151
8140,일반,간선,"(주)세진교통, (주)세왕교통, (주)달구벌버스",방면없음,3001814000,TBC,동대구역,14
836,일반,간선,"대명교통㈜, 대덕버스㈜",방면없음,3000836000,동호동(공영차고지),대천동(공영차고지),145
840,좌석,간선,"한일운수㈜, 경상버스㈜,",방면없음,3000840000,경일대,서문시장,171
937,일반,간선,"경북교통㈜, 우주교통㈜",방면없음,3000937000,시지지구,관음동(공영차고지),139
939,일반,간선,(주)세진교통,방면없음,3000939000,사동,관음동,163
급행1,좌석,급행,"(주)세진교통, 우진교통㈜",기본노선,1000001000,동화사,매곡,93
급행1,좌석,급행,"(주)세진교통, 우진교통㈜",팔공산증회운행(동화사-동대구역),1000001074,동화사,동대구역,41
급행2,좌석,급행,"성보교통㈜, 영진교통㈜",방면없음,1000002000,대일리,동호동,72
급행3,좌석,급행,"동명교통㈜, 신진자동차㈜",방면없음,1000003000,범물동,동명면,58
급행4,좌석,급행,"세한여객㈜, 현대교통㈜",방면없음,1000004000,유곡리,설화명곡역,31
급행5,좌석,급행,"(주)세진교통, 경북교통㈜, 신흥버스㈜",방면없음,1000005000,성서산업단지,대구대,78
급행6,좌석,급행,"광남자동차㈜, 세운버스㈜",방면없음,1000006000,대천동(공영차고지),봉무동(공영차고지),59
급행7,좌석,급행,"동명교통㈜, 신흥버스㈜, 우진교통㈜",방면없음,1000007000,동호동,대곡동,54
